time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.contacts
1970/01/01/01:00:34.496000,1645,34,496000000,,"[False, True, True, False]"
1970/01/01/01:00:34.516000,1646,34,516000000,,"[False, True, True, False]"
1970/01/01/01:00:34.537000,1647,34,537000000,,"[False, True, True, False]"
1970/01/01/01:00:34.556000,1648,34,556000000,,"[False, True, True, False]"
1970/01/01/01:00:34.576000,1649,34,576000000,,"[False, True, True, False]"
1970/01/01/01:00:34.596000,1650,34,596000000,,"[False, True, True, False]"
1970/01/01/01:00:34.616000,1651,34,616000000,,"[False, True, True, False]"
1970/01/01/01:00:34.642000,1652,34,636000000,,"[False, True, True, False]"
1970/01/01/01:00:34.656000,1653,34,656000000,,"[False, True, True, True]"
1970/01/01/01:00:34.676000,1654,34,676000000,,"[True, False, True, True]"
1970/01/01/01:00:34.697000,1655,34,696000000,,"[True, False, False, True]"
1970/01/01/01:00:34.716000,1656,34,716000000,,"[True, False, False, True]"
1970/01/01/01:00:34.735000,1657,34,736000000,,"[True, False, False, True]"
1970/01/01/01:00:34.756000,1658,34,756000000,,"[True, False, False, True]"
1970/01/01/01:00:34.776000,1659,34,776000000,,"[True, False, False, True]"
1970/01/01/01:00:34.796000,1660,34,796000000,,"[True, False, False, True]"
1970/01/01/01:00:34.817000,1661,34,817000000,,"[True, False, False, True]"
1970/01/01/01:00:34.830000,1662,34,843000000,,"[True, False, False, True]"
1970/01/01/01:00:34.856000,1663,34,856000000,,"[True, False, False, True]"
1970/01/01/01:00:34.877000,1664,34,876000000,,"[True, False, False, True]"
1970/01/01/01:00:34.896000,1665,34,896000000,,"[True, False, True, True]"
1970/01/01/01:00:34.916000,1666,34,916000000,,"[True, False, True, True]"
1970/01/01/01:00:34.937000,1667,34,936000000,,"[False, False, True, False]"
1970/01/01/01:00:34.957000,1668,34,957000000,,"[False, False, True, False]"
1970/01/01/01:00:34.976000,1669,34,976000000,,"[False, True, True, False]"
1970/01/01/01:00:34.997000,1670,34,997000000,,"[False, False, False, False]"
1970/01/01/01:00:35.016000,1671,35,16000000,,"[False, True, True, False]"
1970/01/01/01:00:35.036000,1672,35,36000000,,"[False, True, True, False]"
1970/01/01/01:00:35.056000,1673,35,56000000,,"[False, True, True, False]"
1970/01/01/01:00:35.076000,1674,35,76000000,,"[False, True, True, False]"
1970/01/01/01:00:35.097000,1675,35,96000000,,"[False, True, True, False]"
1970/01/01/01:00:35.116000,1676,35,116000000,,"[False, True, True, False]"
1970/01/01/01:00:35.136000,1677,35,136000000,,"[False, True, True, False]"
1970/01/01/01:00:35.156000,1678,35,156000000,,"[False, True, True, True]"
1970/01/01/01:00:35.176000,1679,35,176000000,,"[False, False, True, True]"
1970/01/01/01:00:35.196000,1680,35,196000000,,"[False, False, False, True]"
1970/01/01/01:00:35.217000,1681,35,217000000,,"[False, False, False, True]"
1970/01/01/01:00:35.239000,1682,35,239000000,,"[True, False, False, True]"
1970/01/01/01:00:35.256000,1683,35,256000000,,"[True, False, False, True]"
1970/01/01/01:00:35.276000,1684,35,276000000,,"[True, False, False, True]"
